District,Block Name,username,Column 4
Idukki,Elemdesam,elemdesam@balasabha.com,
Idukki,Idukki,idukki@balasabha.com,
Idukki,Kattappana,kattappana@balasabha.com,
Idukki,Thodupuzha,thodupuzha@balasabha.com,
Idukki,Azhutha,azhutha@balasabha.com,
Ernakulam,Paravur,paravur@balasabha.com,
Ernakulam,Alangad,alangad@balasabha.com,
Ernakulam,Angamaly,angamaly@balasabha.com,
Ernakulam,Koovappady,koovappady@balasabha.com,
Ernakulam,Vazhakulam,vazhakulam@balasabha.com,
Ernakulam,Edappally,edappally@balasabha.com,
Ernakulam,Vypin,vypin@balasabha.com,
Ernakulam,Palluruthy,palluruthy@balasabha.com,
Ernakulam,Mulanthuruthy,mulanthuruthy@balasabha.com,
Ernakulam,Vadavucode,vadavucode@balasabha.com,
Ernakulam,Kothamangalam,kothamangalam@balasabha.com,
Ernakulam,Pampakuda,pampakuda@balasabha.com,
Ernakulam,Parakkadavu,parakkadavu@balasabha.com,
Ernakulam,Muvattupuzha,muvattupuzha@balasabha.com,
Thrissur,Chavakkad,chavakkad@balasabha.com,
Thrissur,Chowannur,chowannur@balasabha.com,
Thrissur,Wadakanchery,wadakanchery@balasabha.com,
Thrissur,Pazhayannur,pazhayannur@balasabha.com,
Thrissur,Ollukkara,ollukkara@balasabha.com,
Thrissur,Puzhakkal,puzhakkal@balasabha.com,
Thrissur,Mullassery,mullassery@balasabha.com,
Thrissur,Thalikulam,thalikulam@balasabha.com,
Thrissur,Anthikad,anthikad@balasabha.com,
Thrissur,Cherpu,cherpu@balasabha.com,
Thrissur,Kodakara,kodakara@balasabha.com,
Thrissur,Irinjalakuda,irinjalakuda@balasabha.com,
Thrissur,Vellangallur,vellangallur@balasabha.com,
Thrissur,Mathilakam,mathilakam@balasabha.com,
Thrissur,Mala,mala@balasabha.com,
Thrissur,Chalakudy,chalakudy@balasabha.com,
Palakkad,Trithala,trithala@balasabha.com,
Palakkad,Pattambi,pattambi@balasabha.com,
Palakkad,Ottapalam,ottapalam@balasabha.com,
Palakkad,Sreekrishnapuram,sreekrishnapuram@balasabha.com,
Palakkad,Mannarkad,mannarkad@balasabha.com,
Palakkad,Attappady,attappady@balasabha.com,
Palakkad,Palakkad,palakkad@balasabha.com,
Palakkad,Kuzhalmannam,kuzhalmannam@balasabha.com,
Palakkad,Chittur,chittur@balasabha.com,
Palakkad,Kollengode,kollengode@balasabha.com,
Palakkad,Nemmara,nemmara@balasabha.com,
Palakkad,Alathur,alathur@balasabha.com,
Palakkad,Malampuzha,malampuzha@balasabha.com,
Malappuram,Nilambur,nilambur@balasabha.com,
Malappuram,Kalikavu,kalikavu@balasabha.com,
Malappuram,Wandoor,wandoor@balasabha.com,
Malappuram,Kondotty,kondotty@balasabha.com,
Malappuram,Areacode,areacode@balasabha.com,
Malappuram,Malappuram,malappuram@balasabha.com,
Malappuram,Perinthalmanna,perinthalmanna@balasabha.com,
Malappuram,Mankada,mankada@balasabha.com,
Malappuram,Kuttippuram,kuttippuram@balasabha.com,
Malappuram,Vengara,vengara@balasabha.com,
Malappuram,Tirurangadi,tirurangadi@balasabha.com,
Malappuram,Tanur,tanur@balasabha.com,
Malappuram,Tirur,tirur@balasabha.com,
Malappuram,Ponnani,ponnani@balasabha.com,
Malappuram,Perumpadappa,perumpadappa@balasabha.com,
Kozhikkode,Vatakara,vatakara@balasabha.com,
Kozhikkode,Tuneri,tuneri@balasabha.com,
Kozhikkode,Kunnummal,kunnummal@balasabha.com,
Kozhikkode,Thodannur,thodannur@balasabha.com,
Kozhikkode,Melady,melady@balasabha.com,
Kozhikkode,Perambra,perambra@balasabha.com,
Kozhikkode,Balussery,balussery@balasabha.com,
Kozhikkode,Panthalayani,panthalayani@balasabha.com,
Kozhikkode,Chelannur,chelannur@balasabha.com,
Kozhikkode,Koduvally,koduvally@balasabha.com,
Kozhikkode,Kunnamangalam,kunnamangalam@balasabha.com,
Kozhikkode,Kozhikkode,kozhikkode@balasabha.com,
Wayanad,Mananthavady,mananthavady@balasabha.com,
Wayanad,Panamaram,panamaram@balasabha.com,
Wayanad,Sulthan Bathery,sulthanbathery@balasabha.com,
Wayanad,Kalpetta,kalpetta@balasabha.com,
Kannur,Payyannur,payyannur@balasabha.com,
Kannur,Kalliasseri,kalliasseri@balasabha.com,
Kannur,Thalipparamba,thalipparamba@balasabha.com,
Kannur,Irikkur,irikkur@balasabha.com,
Kannur,Kannur,kannur@balasabha.com,
Kannur,Edakkad,edakkad@balasabha.com,
Kannur,Thalassery,thalassery@balasabha.com,
Kannur,Panoor,panoor@balasabha.com,
Kannur,Kuthuparamba,kuthuparamba@balasabha.com,
Kannur,Iritty,iritty@balasabha.com,
Kannur,Peravoor,peravoor@balasabha.com,
Kasaragod,Manjesaram,manjesaram@balasabha.com,
Kasaragod,Karadka,karadka@balasabha.com,
Kasaragod,Kasaragod,kasaragod@balasabha.com,
Kasaragod,Kanhangad,kanhangad@balasabha.com,
Kasaragod,Parappa,parappa@balasabha.com,
Kasaragod,Nileswaram,nileswaram@balasabha.com,
